Categoría Inventario,Ingrediente,Unidad de Medida,Inventario Final (#)
Tumblers,Vaso Rewards,Pieza,30824
Mercancia,ESS Reusable cup,Pieza,27933
Tumblers,Stoppers SBX Genérico,Pieza,12340
Tumblers,SII26GlassBear,Pieza,12014
Tumblers,SII26Tu10Gam,Pieza,11460
Tumblers,Lifestyle SBX Genérico,Pieza,10598
Tumblers,WC26SS16Pink,Pieza,8628
Tumblers,WC26CC24Pride,Pieza,8447
Tumblers,WC26CC24Road,Pieza,8390
Tumblers,SII26CC24GID,Pieza,7842
Tumblers,SII26Quencher30P,Pieza,7841
Tumblers,SII26CC24Gamer,Pieza,7765
Tumblers,SII26BTLSS20,Pieza,7663
Tumblers,SII26SS20Hand,Pieza,7661
Tumblers,COR23 Tz14Green,Pieza,7551
Tumblers,Sp26CC24Or,Pieza,7513
Tumblers,COR23 Cold Brew,Pieza,7458
Tumblers,SII26SS12Charm,Pieza,7448
Tumblers,WC26SS30Pride,Pieza,7404
Tumblers,SII26SSCC24White,Pieza,7384
Tumblers,COR23 Pour Over,Pieza,7252
Tazas,WC26Mug12Stan,Pieza,7232
Tumblers,WC26SS20Twist,Pieza,7181
Tumblers,WC26SS16Lid,Pieza,7145
Tumblers,Llavero SBX Genérico,Pieza,6944
Tumblers,SI25KeychainZoo,Pieza,6932
Tumblers,WC26SSCC24Grad,Pieza,6561
Tumblers,SII26SS16Pleat,Pieza,6131
Tumblers,SII26SS16Studded,Pieza,5063
Tumblers,WC26Tu16Flower,Pieza,4708
Tumblers,SII26Doodle16,Pieza,4686
Tumblers,WC26Gl20Silicone,Pieza,4549
Tumblers,WC26SS16Charm,Pieza,4493
Tumblers,Sp26SSCC16Band,Pieza,4307
Tumblers,COR23 ToteBag,Pieza,4195
Tumblers,Sp26NEBlack,Pieza,4192
Tumblers,Wt26ReusSiren,Pieza,4168
Tumblers,Sp26SS20Orange,Pieza,4002
Tumblers,Sp26Vac16Stan,Pieza,3964
Mercancia,Filtros Chemex,Pieza,3769
Tumblers,WC26Dw12Oran,Pieza,3486
Tumblers,WC26NESBX,Pieza,3238
Tumblers,Sp26NEWhite,Pieza,3127
Tumblers,WC26SS20BTL,Pieza,3068
Tumblers,Sp26Tu16Mom,Pieza,3017
Tumblers,WC26StanHand20,Pieza,2803
Tumblers,WC26StanQuen30,Pieza,2790
Tumblers,Sp26KeychainOr,Pieza,2785
Tumblers,SII25BdayStopper,Pieza,2665
Tumblers,Wt26VasoJacaran,Pieza,2591
Tumblers,DiscCC24MxPais,Pieza,2589
Tumblers,Sp26SSCC24Oran,Pieza,2575
Tumblers,WC26NESiren,Pieza,2543
Tumblers,WC26Stan20IceF,Pieza,2529
Tumblers,COR25CircCup,Pieza,2521
Tumblers,ImánMexico,Pieza,2297
Tumblers,Sp26CC24Teach,Pieza,2262
Tumblers,SII26SSBTL12Aniv,Pieza,2254
Tumblers,WC26Reus,Pieza,2080
Tumblers,Sp26SSCC24CarryC,Pieza,2034
Tumblers,SII25ClipGirlB,Pieza,1977
Tumblers,WC26CCSS24Puffy,Pieza,1973
Tumblers,SII26SS12Aniv,Pieza,1832
Tumblers,Wt26ReusSV,Pieza,1803
Tumblers,COR23 PrensaFran,Pieza,1793
Tumblers,WC26TotePride,Pieza,1766
Tazas,Sp26StanQuen20,Pieza,1764
Tumblers,COR23 CC24 Green,Pieza,1744
Tumblers,WC26ToteRoad,Pieza,1719
Tumblers,DiscSS20MxPais,Pieza,1657
Tumblers,Wt26VasoFresa,Pieza,1637
Tumblers,COR26PPBTL20S,Pieza,1538
Tumblers,SII26SS16Resort,Pieza,1508
Mercancia,BearHuggerSpring,Pieza,1481
Tumblers,Sp26CookieJP,Pieza,1429
Tumblers,SII26SSTu12Pony,Pieza,1403
Tumblers,COR23 Tz14 Rain,Pieza,1358
Tumblers,SII26BTL16Pony,Pieza,1311
Tumblers,SII26GICCColor,Pieza,1300
Tazas,SII26Mug14Aniv,Pieza,1298
Tumblers,Sp26CC24Dome,Pieza,1294
Tumblers,SII25ClipBoyB,Pieza,1277
Tumblers,Xm25Tag,Pieza,1276
Tumblers,DiscoveryMxPais,Pieza,1254
Tumblers,SII26BTL20Resort,Pieza,1243
Tumblers,COR26BTL20,Pieza,1208
Tumblers,SI25CC24Colors,Pieza,1208
Tumblers,SII26SSCC16Pony,Pieza,1205
Tumblers,Sp26Mug14Mom,Pieza,1180
Tumblers,Tote bags SBX Genérico,Pieza,1154
Tumblers,SII26SSCC20Pony,Pieza,1097
Tumblers,Sp26Tu16Teach,Pieza,1051
Mercancia,BearHugWorldCup,Pieza,976
Tumblers,Xm25Tz14Glass,Pieza,939
Tumblers,COR26Stan30White,Pieza,865
Tumblers,WC26Tu20Yellow,Pieza,857
Tumblers,Disc2ozMxPais,Pieza,854
Tumblers,Xm25Stopper,Pieza,850
Tumblers,COR26SSThruLid,Pieza,829
Tumblers,Sp26Tu16Orange,Pieza,823
Tumblers,Wt26VasoPistache,Pieza,796
Tumblers,Fl25MonederoAniv,Pieza,760
Tazas,Wt26Mug14Bow,Pieza,732
Tumblers,Sp26NELlavero,Pieza,725
Tumblers,DiscoveryTulum,Pieza,659
Tazas,Tazas SBX Genérico,Pieza,634
Tumblers,Fl25Manga,Pieza,623
Tumblers,Fl25StopperBar,Pieza,615
Tumblers,DiscoveryCDMX,Pieza,576
Tumblers,DiscoveryGDL,Pieza,573
Tumblers,Wt26LlaveroSV,Pieza,524
Tumblers,Sp26Mug14Rabbit,Pieza,499
Tumblers,CCupPlastic SBX Genérico,Pieza,498
Tumblers,Wt26TuSS16Duck,Pieza,459
Tumblers,Disc2ozGDL,Pieza,452
Tumblers,Fl25ReusCCBa,Pieza,452
Tumblers,Disc2ozTulum,Pieza,445
Tumblers,Xm25ReuMike,Pieza,445
Tumblers,SII26CC24Rain,Pieza,437
Tumblers,ToteBag CDMX,Pieza,436
Tumblers,DiscoveryGTO,Pieza,420
Tumblers,Disc2ozPVallarta,Pieza,401
Tumblers,Disc2ozPlayaC,Pieza,375
Tumblers,Sp26ReusTierra,Pieza,373
Tumblers,DiscoveryMTY,Pieza,367
Tumblers,Sp26Tz14GlassC,Pieza,350
Tumblers,DiscoveryPlayaC,Pieza,349
Tumblers,Fl25KeyChainD,Pieza,326
Tumblers,Disc2ozCabos,Pieza,323
Tumblers,ToteBag MxPais,Pieza,315
Tumblers,SI25Tu20Swimm,Pieza,312
Tumblers,DiscoveryCancun,Pieza,309
Tumblers,SI25SSCC24Paddle,Pieza,307
Tumblers,DiscoveryCabos,Pieza,302
Tumblers,ToteBag MTY,Pieza,302
Tumblers,Xm25ReuElev,Pieza,300
Mercancia,BearHugger,Pieza,297
Tumblers,DiscoveryPVallarta,Pieza,296
Tumblers,Sp26CCReusTierra,Pieza,294
Tumblers,ToteBag GDL,Pieza,287
Tumblers,Disc2ozCDMX,Pieza,278
Mercancia,Wt25CrarryingBag,Pieza,277
Tumblers,DiscoveryLeon,Pieza,274
Tumblers,DiscoveryEnsenad,Pieza,270
Tumblers,DiscoveryQRO,Pieza,268
Tumblers,WC26SS20Pull,Pieza,264
Tumblers,SII25StopPSL,Pieza,257
Tumblers,DiscoveryCozumel,Pieza,253
Tumblers,SII25StrawLluvia,Pieza,250
Tumblers,SII25LlaveroB2S,Pieza,249
Tumblers,ToteBag Pvallart,Pieza,229
Tumblers,Sp26CCup16Cherry,Pieza,224
Tumblers,WC26LlaveroB,Pieza,221
Tumblers,Xm25Reu2Hol,Pieza,219
Tazas,ResMug12SSCopper,Pieza,218
Tumblers,DiscoveryChihua,Pieza,217
Tumblers,ResSetCT3Pck,Pieza,213
Tumblers,COR23 ReusCC16,Pieza,211
Tumblers,COR26Tu16Sust,Pieza,202
Tumblers,ResSS16BananaLea,Pieza,195
Tumblers,COR26Mug14Copper,Pieza,193
Tumblers,SI25CC24Drinks,Pieza,192
Tumblers,Disc2ozCAN,Pieza,190
Tumblers,Xm25CCGlass18,Pieza,187
Tumblers,Disc2ozCozumel,Pieza,185
Tumblers,Pines SBX Genérico,Pieza,183
Tumblers,Disc2ozMTY,Pieza,181
Tumblers,DiscoverySanMig,Pieza,170
Tumblers,DiscoveryMorelia,Pieza,168
Tumblers,DiscoveryZacat,Pieza,167
Tumblers,Fl25Llavero,Pieza,166
Tumblers,COR25DW12Prism,Pieza,163
Tumblers,DiscoveryChiapas,Pieza,161
Tumblers,COR23 ReusCC24,Pieza,159
Tumblers,WC26SS16Black,Pieza,149
Tumblers,DiscoveryPuebla,Pieza,148
Tumblers,Fl25CC24Dome,Pieza,140
Tumblers,Xm25SS16Peng,Pieza,138
Tumblers,ToteBag PlayaC,Pieza,135
Tumblers,Xm25Give16Hot,Pieza,124
Tumblers,DiscoveryOAX,Pieza,122
Tumblers,COR26Glass16Sus,Pieza,121
Tumblers,Fl25CC24DDM,Pieza,118
Tumblers,ToteBag CAN,Pieza,118
Tumblers,Xm25MugPinguin,Pieza,115
Tumblers,SI25SSDoodle,Pieza,108
Tumblers,COR25Mug 16Sus,Pieza,104
Tumblers,WC26BearWC,Pieza,100
Tumblers,DiscoveryAcapulc,Pieza,98
Tumblers,SI25CC24Dome,Pieza,98
Tumblers,SII25CC24Jeweled,Pieza,95
Tumblers,Fl25PinesDDM,Pieza,92
Tumblers,Sp26NECrossB,Pieza,91
Tumblers,Xm25StanCB16,Pieza,91
Tumblers,Fl25StrawBar,Pieza,90
Mercancia,Sp25StopperP,Pieza,90
Tumblers,CCup Acero SBX Genérico,Pieza,89
Tumblers,Set Reusa SBX Genérico,Pieza,89
Tumblers,COR25SS16Sleeve,Pieza,88
Tumblers,Res SS16GoldShin,Pieza,88
Tumblers,COR23 GlCC18 Omb,Pieza,84
Tumblers,Wt26SSCC24Win,Pieza,83
Tumblers,Wt26GlassCC16,Pieza,81
Tumblers,Xm25Tu16CPing,Pieza,81
Tumblers,Xm25Reu1Hol,Pieza,78
Tumblers,Sp26SS16Under,Pieza,77
Tumblers,Wt26SSCC24Grad,Pieza,75
Tumblers,Xm25Give16CC,Pieza,75
Tumblers,Sp26WTBLSS16Cher,Pieza,74
Tazas,SI25Tz14Glass,Pieza,73
Tumblers,SI25KeyChainCC,Pieza,72
Tumblers,Xm25Tu16Charm,Pieza,72
Tumblers,COR23 Tu16 SirenT,Pieza,70
Tumblers,Wt26ReusBear,Pieza,70
Tumblers,COR23 SS25StyBTL,Pieza,67
Tumblers,Fl25ReusBar,Pieza,67
Tumblers,Sp26WTBL19Under,Pieza,67
Tumblers,Wt262PkStanley,Pieza,67
Tumblers,Wt26SSCC30Togo,Pieza,61
Tumblers,DiscoveryVER,Pieza,60
Tumblers,Wt26BTLStanley,Pieza,60
Tumblers,Sp26CC216Rabbit,Pieza,59
Tumblers,ToteBag Tulum,Pieza,59
Tumblers,DiscoveryMazatla,Pieza,58
Tumblers,SII25LlaveroAlo,Pieza,57
Tumblers,Xm25CC24Hol,Pieza,57
Tumblers,SI25DW12Beach,Pieza,55
Tumblers,Wt26SS20SV,Pieza,55
Tumblers,Disc2ozChiapas,Pieza,53
Tumblers,Wt26Tu16Charm,Pieza,51
Tumblers,Wt26SSBTL20SV,Pieza,50
Tumblers,Wt26BTL20Gr,Pieza,49
Tumblers,SI25ReusDelivery,Pieza,48
Tumblers,Disc2ozPuebla,Pieza,47
Tumblers,Sp26Gl18Mottled,Pieza,47
Tumblers,ToteBag Cozumel,Pieza,47
Tumblers,WC26Tu24DW,Pieza,47
Tumblers,Wt26SS16Vac,Pieza,45
Tumblers,Xm25BTL24Magn,Pieza,45
Tumblers,SI25SSCC24Swimm,Pieza,40
Tumblers,Wt26SSCC16Grad,Pieza,39
Tumblers,Fl25SSCC24Sust,Pieza,38
Tumblers,Wt26CC15Blue,Pieza,38
Tumblers,Wt26CC24Choco,Pieza,37
Tumblers,Fl25Pines,Pieza,35
Tumblers,SII25ReusColor,Pieza,35
Tumblers,COR23 SS16 ThruL,Pieza,34
Tumblers,Tumb Plastic SBX Genérico,Pieza,34
Tumblers,Wt26SSCC24CarryL,Pieza,34
Tumblers,DiscoveryMerida,Pieza,33
Tumblers,Tumb acero SBX Genérico,Pieza,33
Tumblers,Wt26CC24Spinner,Pieza,32
Tumblers,Fl25SSTu20Vac,Pieza,31
Tumblers,SI25CC24Fun,Pieza,30
Tumblers,Sp26Tu20Blossom,Pieza,30
Tumblers,Xm25SSCC24Topp,Pieza,30
Tumblers,Fl25StanPearl,Pieza,28
Tumblers,ToteBag Cabos,Pieza,26
Tumblers,Fl25SSTu12Sust,Pieza,25
Tumblers,Disc2ozOAX,Pieza,24
Tumblers,Sp26SS12Pink,Pieza,24
Tumblers,WC26BearMex,Pieza,23
Tumblers,COR23 SS16StSwi,Pieza,22
Tumblers,Fl25CC24StrawT,Pieza,22
Tumblers,SI25SSCC24Father,Pieza,20
Tumblers,SI25ReusTierra,Pieza,19
Tumblers,SI25Tu20Zoo,Pieza,19
Tumblers,SII25Tu16FarmR,Pieza,19
