ESTADO FOTO,CÓDIGO DÍA,SKU INTL,ARTÍCULO,HOMOLOGADO,PRIORIDAD,FOTO,LOTE,COINCIDENCIA
FALTA FOTO,9506,11042169,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12026,11093766,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12027,11091117,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12028,11091119,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12029,11091120,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12030,11091121,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12031,11093759,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12032,11091114,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12035,11091115,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12091,11093765,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12092,11093767,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12117,11096290,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12118,11096274,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12119,11096273,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12120,11096276,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12121,11096291,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12122,11096292,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12142,11094813,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12143,11094845,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12144,11094846,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12145,11094847,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12146,11094849,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12147,11094850,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12216,11096156,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12217,11096157,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12218,11096158,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12236,11096163,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12237,11096164,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12238,11096165,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12249,11093768,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12288,11096166,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12289,11096167,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12290,11096172,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12291,11096173,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12292,11096175,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12315,11101951,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12316,11101958,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12317,11101957,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12318,11101960,Tote bags SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12319,11101964,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12320,11101965,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12388,11101962,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12389,11102060,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12392,11101952,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12393,11101953,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12394,11101959,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12395,11101961,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12396,11101963,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12459,11103782,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12460,11103783,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12461,11103786,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12462,11103788,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12463,11103790,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12464,11103793,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12465,11091715,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12466,11091714,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12471,11091707,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12472,11091723,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12473,11091727,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12474,11091787,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12475,11091799,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12476,11091810,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12477,11091825,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12478,11103789,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12479,11103794,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12548,11109972,CCupPlastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12550,11109975,CCupPlastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12551,11109976,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12552,11109977,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12553,11109978,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12554,11109979,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12555,11109980,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12556,11109984,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12557,11109985,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12558,11109986,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12559,11109994,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12560,11109995,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12580,11109996,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12581,11109997,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12632,11111736,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12633,11111737,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12634,11111738,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12635,11111740,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12636,11111774,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12637,11111775,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12638,11111776,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12639,11111777,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12640,11111783,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12662,11111773,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12696,11113322,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12697,11111781,Set Reusa SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12699,11113323,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12705,11113324,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12709,11112590,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12711,11112592,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12712,11112588,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12713,11112586,Tumb acero SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12745,11112595,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12746,11113480,Lifestyle SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12781,11115401,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12782,11115527,Tazas SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12783,11115396,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12784,11115399,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12785,11115486,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12786,11115488,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12787,11115530,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
FALTA FOTO,12788,11115531,Tumb Plastic SBX Genérico,SÍ,ACTIVO,,,
